borough_code,year,diversion
101,2009,34.454362952423644
101,2010,33.17462894691601
101,2011,32.023300466565864
101,2012,29.611664135875372
101,2013,29.339790272240997
101,2014,29.878229212435325
101,2015,31.158099137609113
101,2016,31.807288225616322
101,2017,31.072020060401474
101,2018,31.851910031541035
101,2019,33.345284615074725
102,2009,26.36607118204159
102,2010,26.41601786123197
102,2011,25.016412778599957
102,2012,24.139577123695975
102,2013,24.757209835225304
102,2014,25.90002894565454
102,2015,26.996773015099855
102,2016,28.147262280203854
102,2017,28.034800975016733
102,2018,28.83655372654123
102,2019,29.895981787558533
103,2009,17.31012129204822
103,2010,16.924338444598032
103,2011,15.813322771426458
103,2012,15.232066251523507
103,2013,15.754754223965353
103,2014,16.39103770379241
103,2015,17.589119181842946
103,2016,18.332924564661365
103,2017,18.25657512671724
103,2018,18.027629567939083
103,2019,17.892871263458904
104,2009,27.363428244797095
104,2010,27.149731041815333
104,2011,25.795452352796865
104,2012,24.900384422061165
104,2013,24.632132529885304
104,2014,25.1644481487837
104,2015,26.493742320615006
104,2016,27.449676568218567
104,2017,26.575961930301954
104,2018,27.553456730176535
104,2019,28.73876615749137
105,2009,25.068203880145195
105,2010,25.23743229842093
105,2011,23.69064938500199
105,2012,22.6214867607125
105,2013,22.50053319974406
105,2014,23.853955175821095
105,2015,24.947359142859938
105,2016,25.177041336650174
105,2017,24.708409920985417
105,2018,25.754871232671345
105,2019,26.956602719314578
106,2009,28.12157196816216
106,2010,27.907474657641412
106,2011,23.933787812280922
106,2012,22.05408081888052
106,2013,22.267544841682422
106,2014,23.44808556196952
106,2015,24.678618219060553
106,2016,25.43423113405246
106,2017,25.119665268273096
106,2018,25.99267987093231
106,2019,26.71449672926778
107,2009,25.64497769931239
107,2010,25.929546531668663
107,2011,24.943315396269785
107,2012,24.919585385972134
107,2013,24.318299266954618
107,2014,25.136617343615903
107,2015,26.951826636234898
107,2016,28.253185755790394
107,2017,27.88723570102629
107,2018,28.517029316843516
107,2019,29.146959543558133
108,2009,25.914333193860152
108,2010,25.561290868747715
108,2011,24.03819870411312
108,2012,23.8452819976879
108,2013,23.993863279577564
108,2014,25.25326992780965
108,2015,26.682640302413486
108,2016,27.60460898101259
108,2017,26.83893740497646
108,2018,27.913329586839925
108,2019,28.34117799965651
109,2009,14.480979187990444
109,2010,14.36063793688497
109,2011,14.2132318223166
109,2012,14.516060998894867
109,2013,15.432541182977138
109,2014,16.23233347247898
109,2015,17.651702939144666
109,2016,19.17257137647404
109,2017,19.6727020509085
109,2018,19.74976051875322
109,2019,20.461645105823678
110,2009,10.466165102617317
110,2010,10.804426994873092
110,2011,10.78685667678185
110,2012,11.036736331434666
110,2013,11.629668259113767
110,2014,12.86404542672206
110,2015,14.345110575167022
110,2016,15.576663459648998
110,2017,15.623383473136496
110,2018,15.694201503183299
110,2019,16.651350186653378
111,2009,11.869652585071949
111,2010,11.930066079295152
111,2011,11.657175250208509
111,2012,11.629326356837218
111,2013,12.268182657556654
111,2014,13.991073510527546
111,2015,14.987975235746553
111,2016,15.624457538907285
111,2017,15.410407979156288
111,2018,15.29106585217164
111,2019,15.108750709911122
112,2009,13.570310992991406
112,2010,13.449122588588464
112,2011,12.981022845626326
112,2012,13.081732738609988
112,2013,13.92033221880897
112,2014,14.819316387929259
112,2015,16.53306642254565
112,2016,16.814962566338817
112,2017,16.419357491484245
112,2018,16.818691771133118
112,2019,17.429356574998327
201,2009,7.870703293542354
201,2010,7.8749930824024235
201,2011,7.573677926193743
201,2012,7.742660084833094
201,2013,8.59574633087109
201,2014,9.217853910335204
201,2015,10.396464067047472
201,2016,11.239080974666681
201,2017,11.458361840124793
201,2018,11.924149556214731
201,2019,12.36618417229742
202,2009,8.89384134826231
202,2010,8.90961431931491
202,2011,8.492394380985296
202,2012,8.79930443237381
202,2013,9.497133923918707
202,2014,10.541767007459004
202,2015,12.322702507077032
202,2016,13.66237656016765
202,2017,13.731535993370784
202,2018,14.178539276068536
202,2019,14.884710957804161
203,2009,7.740897693816438
203,2010,8.247765430993693
203,2011,8.237626415897465
203,2012,8.317271634906168
203,2013,9.087605523564603
203,2014,10.566252566943861
203,2015,11.994216685355644
203,2016,13.234763373886722
203,2017,12.350059578975243
203,2018,13.067944198829013
203,2019,14.363328306242904
204,2009,7.735052233829741
204,2010,7.663775364017608
204,2011,7.189041077887988
204,2012,7.317889871647624
204,2013,8.023357468679277
204,2014,9.102292586523228
204,2015,10.239517593962432
204,2016,11.22179249184312
204,2017,11.602900319957076
204,2018,12.336166323391833
204,2019,13.445327739066732
205,2009,10.276472909990368
205,2010,10.167641455973468
205,2011,9.54873313099029
205,2012,9.60416558187972
205,2013,10.209079882832
205,2014,11.157155150768597
205,2015,12.116293502649544
205,2016,13.030006626068849
205,2017,12.668640040023346
205,2018,12.76430754429834
205,2019,13.256322725879583
206,2009,9.13285476993016
206,2010,9.301661526884756
206,2011,8.998069069891843
206,2012,9.023361420515764
206,2013,9.801154497745172
206,2014,10.5878117660217
206,2015,11.201416813659902
206,2016,12.50124183387175
206,2017,12.847620145524083
206,2018,12.908035413209209
206,2019,13.906340347845292
207,2009,11.793239725636981
207,2010,11.511464394772918
207,2011,10.91599806278278
207,2012,11.021688453710155
207,2013,11.63401264821506
207,2014,13.143187589168335
207,2015,14.224351194214616
207,2016,14.96404382933218
207,2017,15.334181915222448
207,2018,15.92353794140029
207,2019,16.651249369723214
208,2009,19.153608673972776
208,2010,18.290487078635007
208,2011,17.709160590860417
208,2012,18.071411287801133
208,2013,19.483593690978843
208,2014,20.45740470735263
208,2015,22.317232596666408
208,2016,23.142910441619435
208,2017,23.00393439963225
208,2018,24.12710023019168
208,2019,24.951254280611497
209,2009,9.293906389889795
209,2010,9.004684598921685
209,2011,8.612545880320871
209,2012,8.592612065964204
209,2013,9.120062371973802
209,2014,10.328058435717743
209,2015,11.040104594843557
209,2016,11.844646679079156
209,2017,11.967482631391535
209,2018,12.384279044677688
209,2019,13.021929290645707
210,2009,19.406041596881757
210,2010,18.95307792093689
210,2011,18.583473447797648
210,2012,17.872502155403303
210,2013,19.512065426623703
210,2014,21.10048776334031
210,2015,22.044611551577265
210,2016,22.244211103609025
210,2017,23.426685424210042
210,2018,24.7718393088812
210,2019,24.657482016217177
211,2009,16.335140145302212
211,2010,15.654103642627003
211,2011,15.10827439731996
211,2012,14.851893183428338
211,2013,15.384542055228398
211,2014,15.75812291387731
211,2015,15.95107933837959
211,2016,16.284460101129717
211,2017,17.900249160140767
211,2018,19.613641773214948
211,2019,19.657559182067526
212,2009,17.00796112147972
212,2010,16.486695291194042
212,2011,15.851879935513841
212,2012,15.67113822235418
212,2013,16.78656413872119
