year,borough_code,percent_recycled
2009,101,34.408124128096716
2009,102,26.322415228451508
2009,103,17.288615090283376
2009,104,27.317896739981318
2009,105,25.016821626916098
2009,106,28.03346372444335
2009,107,25.598104169439413
2009,108,25.87358662181487
2009,109,14.48120586728016
2009,110,10.459362119245833
2009,111,11.865583289771871
2009,112,13.557479428220852
2009,201,7.8646339289188
2009,202,8.878367448114874
2009,203,7.738342436577207
2009,204,7.726399380714601
2009,205,10.273287436693302
2009,206,9.112031862898379
2009,207,11.77565063401206
2009,208,19.14432175915781
2009,209,9.294128920250424
2009,210,19.447605751449
2009,211,16.359691204576794
2009,212,17.031957447911132
2009,301,15.346284600632181
2009,302,24.66675198869062
2009,303,10.36552568441052
2009,304,11.249977506059482
2009,305,11.95902261744522
2009,306,30.145006837222184
2009,307,19.0379543546526
2009,308,13.670237774759025
2009,309,11.172249460231148
2009,310,22.20196218157261
2009,311,19.154240017324234
2009,312,15.259044957303146
2009,313,13.986527716358184
2009,314,13.90451900693563
2009,315,20.001763601241503
2009,316,9.696871119870304
2009,317,13.676346064579612
2009,318,17.918633276503982
2009,401,19.615698513573196
2009,402,19.432406964317266
2009,403,14.125321725865177
2009,404,13.05684731384009
2009,405,20.904826517571838
2009,406,20.931974013096973
2009,407,18.759829575314402
2009,408,19.16669620106043
2009,409,17.14816684535999
2009,410,18.492291461185793
2009,411,23.033255393097892
2009,412,14.184473652785721
2009,413,18.157194019559167
2009,414,13.920504891930568
2009,501,18.969535440780632
2009,502,20.64659505135714
2009,503,21.422622896758742
2010,101,33.16597748203369
2010,102,26.429380317854953
2010,103,16.960515459596806
2010,104,27.171937205529805
2010,105,25.219512346937336
2010,106,27.94110103317445
2010,107,25.959039763070635
2010,108,25.576287866313816
2010,109,14.377399472816727
2010,110,10.845403326361952
2010,111,11.942027942590583
2010,112,13.511229364204455
2010,201,7.865926378941626
2010,202,8.961624061366647
2010,203,8.259774582884152
2010,204,7.657732459441408
2010,205,10.15969863259697
2010,206,9.319094040937427
2010,207,11.530108960204295
2010,208,18.336314448627082
2010,209,9.030637157428226
2010,210,19.070049420830703
2010,211,15.720454117558157
2010,212,16.557549108286228
2010,301,15.459771917738466
2010,302,24.77089872464128
2010,303,10.38254336276899
2010,304,11.217157187799424
2010,305,11.459271324095923
2010,306,29.764621340228445
2010,307,18.500115284738573
2010,308,13.721691067337334
2010,309,10.982971281885169
2010,310,21.726097565563304
2010,311,18.829180103646557
2010,312,15.04799161486995
2010,313,13.93296826456522
2010,314,13.869236395075001
2010,315,19.41828888525862
2010,316,9.674534695652863
2010,317,13.357942687373892
2010,318,17.62786349854949
2010,401,19.97808111968825
2010,402,19.018947811052175
2010,403,13.792575672115909
2010,404,12.788200881886304
2010,405,20.272341676107043
2010,406,20.412540204361573
2010,407,18.477005407198618
2010,408,19.117744260240816
2010,409,16.876466828542018
2010,410,18.017001015956943
2010,411,22.655227168498755
2010,412,14.147973250227565
2010,413,17.81315949864512
2010,414,13.044487023877233
2010,501,18.60591581163303
2010,502,20.345051888108568
2010,503,21.00966402334065
2011,101,31.988675392753013
2011,102,24.986800121633163
2011,103,15.822797286168232
2011,104,25.782979796607936
2011,105,23.684357653319136
2011,106,23.842026972873256
2011,107,24.92552245760152
2011,108,23.99963003237346
2011,109,14.223163783126447
2011,110,10.783116952837451
2011,111,11.659340114195038
2011,112,12.972754874158674
2011,201,7.577548261127919
2011,202,8.510769337559418
2011,203,8.24035622864658
2011,204,7.194281418311011
2011,205,9.55390610900485
2011,206,8.987665467218124
2011,207,10.919097240868288
2011,208,17.721267472507318
2011,209,8.626987773764803
2011,210,18.634568996980548
2011,211,15.136902912359986
2011,212,15.886639012232074
2011,301,14.89632582588243
2011,302,24.03287959161412
2011,303,9.633563024292654
2011,304,10.955543403866997
2011,305,10.584957238385824
2011,306,28.95043034314486
2011,307,17.751663918904654
2011,308,13.4008979804767
2011,309,10.644516718606608
2011,310,20.780816434739965
2011,311,18.157868877400116
2011,312,14.568108809365627
2011,313,13.234460826564714
2011,314,13.35552777994092
2011,315,18.94786958606003
2011,316,9.37955333611206
2011,317,12.917799247621772
2011,318,16.838599240684363
2011,401,19.71350035714755
2011,402,18.79514887234515
2011,403,13.510121292851872
2011,404,12.678464618353779
2011,405,20.09417276086386
2011,406,19.775132664747872
2011,407,17.89871956839136
2011,408,18.282764164796614
2011,409,16.45816600716022
2011,410,17.073924923905
2011,411,21.781143138055615
2011,412,13.566101871434425
2011,413,17.286930328470394
2011,414,12.292018496255041
2011,501,17.95732429253865
2011,502,19.61030645215715
2011,503,20.259630268018164
2012,101,29.71759232733702
2012,102,24.20646494268573
2012,103,15.278282357899114
2012,104,24.86669626581293
2012,105,22.595392282824562
2012,106,22.041563431385935
2012,107,24.75423872297283
2012,108,23.776294593411063
2012,109,14.504385997469262
2012,110,11.033652340856875
2012,111,11.633597250453564
2012,112,13.075696222743282
2012,201,7.741459479104857
2012,202,8.797469570054762
2012,203,8.322572645475885
2012,204,7.325197797196986
2012,205,9.606992614890968
2012,206,9.017869555224959
2012,207,11.022359301433854
2012,208,18.069946537654236
2012,209,8.59604726921727
2012,210,17.947953508613384
2012,211,14.871173161167848
2012,212,15.69663813062166
2012,301,14.818003407789073
2012,302,22.690681923380613
2012,303,9.735425242812875
2012,304,11.207513728405154
2012,305,10.524845611886843
2012,306,28.164799337959497
2012,307,17.74676151795627
2012,308,13.397891554115821
2012,309,10.719620212660237
2012,310,20.561983217038527
2012,311,17.609525513535782
2012,312,14.44864167612605
2012,313,11.939113984385587
