year,boro_cd,total_recycled,total_refuse,total_waste,pct_recycled_annum,pct_recycled_2009,pct_recycled_2018,pct_change,pct_point_change,poverty_rate
2009,101,7071.0,13451.800000000001,20522.800000000003,34.45436295242364,34.45436295242364,31.85191003154105,0.0,0.0,8.8
2010,101,6946.9,13993.499999999998,20940.399999999998,33.174628946916016,34.45436295242364,31.85191003154105,-3.7142872363501334,-1.2797340055076205,8.8
2011,101,6904.799999999999,14657.000000000002,21561.800000000003,32.023300466565864,34.45436295242364,31.85191003154105,-7.055891554909055,-2.4310624858577725,8.8
2012,101,6318.3,15018.9,21337.2,29.611664135875372,34.45436295242364,31.85191003154105,-14.055400830470477,-4.842698816548264,8.8
2013,101,6373.599999999999,15349.8,21723.399999999998,29.339790272240997,34.45436295242364,31.85191003154105,-14.84448482546349,-5.11457268018264,8.8
2014,101,6664.100000000001,15640.099999999999,22304.2,29.878229212435333,34.45436295242364,31.85191003154105,-13.281725006227118,-4.576133739988304,8.8
2015,101,7092.3,15670.000000000002,22762.300000000003,31.158099137609113,34.45436295242364,31.85191003154105,-9.56704327799116,-3.296263814814523,8.8
2016,101,7365.9,15792.0,23157.9,31.807288225616308,34.45436295242364,31.85191003154105,-7.682843332388833,-2.647074726807329,8.8
2017,101,7335.700000000001,16273.0,23608.7,31.072020060401464,34.45436295242364,31.85191003154105,-9.816878334661672,-3.382342892022173,8.8
2018,101,7705.199999999999,16485.5,24190.699999999997,31.85191003154105,34.45436295242364,31.85191003154105,-7.5533334471346585,-2.6024529208825875,8.8
2009,106,14227.8,36366.100000000006,50593.90000000001,28.12157196816216,28.12157196816216,25.99267987093231,0.0,0.0,9.8
2010,106,13556.0,35018.799999999996,48574.799999999996,27.907474657641412,28.12157196816216,25.99267987093231,-0.7613276767142962,-0.21409731052074932,9.8
2011,106,11504.900000000003,36564.8,48069.700000000004,23.933787812280922,28.12157196816216,25.99267987093231,-14.891714306093695,-4.187784155881239,9.8
2012,106,10066.1,35576.7,45642.799999999996,22.05408081888053,28.12157196816216,25.99267987093231,-21.57593165898031,-6.067491149281633,9.8
2013,106,10044.599999999999,35064.100000000006,45108.700000000004,22.26754484168242,28.12157196816216,25.99267987093231,-20.816855946415014,-5.8540271264797425,9.8
2014,106,10622.1,34678.4,45300.5,23.448085561969513,28.12157196816216,25.99267987093231,-16.618866155433043,-4.673486406192648,9.8
2015,106,11132.500000000002,33977.399999999994,45109.899999999994,24.67861821906057,28.12157196816216,25.99267987093231,-12.243105588121217,-3.4429537491015907,9.8
2016,106,11530.1,33802.9,45333.0,25.43423113405246,28.12157196816216,25.99267987093231,-9.55615438977655,-2.687340834109701,9.8
