place,BOROUGH,borough_code,total_waste,pct_recyc_2019,pct_recyc_2009,pct_change,pct_point_change,raw_recyc2019,raw_recyc2009,raw_refuse2019,raw_refuse2009,raw_waste2019,raw_waste2009,acres,borocd,cd_full_title,fp_100_rent_burden,neighborhoods,pct_bach_deg,pct_foreign_born,poverty_rate,under18_rate,population,Location,income
18,Brooklyn,302,41935.100000000006,28.59966948928225,24.644500148306687,16.0488925203351,3.955169340975562,11993.300000000001,8474.8,29941.8,25913.4,41935.100000000006,34388.2,1821.0,302,Brooklyn Community District 2,0.34344894,"Boerum Hill, Brooklyn Heights, Clinton Hill, Downtown Brooklyn, DUMBO, Fort Greene, Fulton Ferry, Navy Yard, Vinegar Hill",61.1,19.6,11.0,17.7,135444.0,Fort Greene/Brooklyn Hts,92562.0
19,Queens,411,46188.1,26.755159878843248,22.809698204425473,17.297298890400437,3.945461674417775,12357.699999999999,11285.599999999999,33830.4,38191.6,46188.1,49477.2,5991.9,411,Queens Community District 11,0.498333333,"Auburndale, Bayside, Douglaston, Hollis Hills, Little Neck, Oakland Gardens",42.1,42.9,14.1,18.6,118670.0,Bayside,70155.0
20,Queens,402,46080.69999999999,23.308239675178548,19.424779968784975,19.99229701769685,3.883459706393573,10740.599999999999,7828.4,35340.1,32472.699999999997,46080.69999999999,40301.09999999999,3211.4,402,Queens Community District 2,0.36183732799999996,"Blissville, Hunters Point, Long Island City, Sunnyside, Sunnyside Gardens, Woodside",39.4,54.8,18.8,16.5,133822.0,Sunnyside/Woodside,67359.0
21,Manhattan,112,68704.20000000001,17.429356574998327,13.570310992991406,28.43741447045676,3.859045582006921,11974.7,10130.4,56729.50000000001,64520.8,68704.20000000001,74651.2,1790.0,112,Manhattan Community District 12,0.546088304,"Inwood, Washington Heights",32.8,46.3,19.6,17.4,219998.0,Washington Heights,56382.0
22,Brooklyn,313,29408.100000000002,17.74307078662001,13.965712056604026,27.047376565592064,3.777358730015983,5217.9,4152.9,24190.200000000004,25583.5,29408.100000000002,29736.4,2023.6,313,Brooklyn Community District 13,0.580296566,"Brighton Beach, Coney Island, Gravesend, Homecrest, Sea Gate, West Brighton",36.6,52.5,24.4,19.8,122009.0,Coney Island,36118.0
23,Staten Island,501,78704.4,22.555028689628536,18.809382625807565,19.91371082367013,3.7456460638209705,17751.8,15130.699999999999,60952.6,65311.600000000006,78704.4,80442.3,8653.9,501,Staten Island Community District 1,0.553782718,"Arlington, Castleton Corners, Clifton, Elm Park, Fox Hills, Graniteville, Grymes Hill, Howland Hook, Livingston, Mariner's Harbor, New Brighton, Old Place, Park Hill, Port Ivory, Port Richmond, Randall Manor, Rosebank, Shore Acres, Silver Lake, St. George, Stapleton, Sunnyside, Tompkinsville, Ward Hill, West Brighton, West New Brighton, Westerliegh, Willowbrook",30.3,24.1,21.2,23.5,176632.0,St. George,62870.0
24,Bronx,209,51752.700000000004,13.021929290645707,9.293906389889795,40.11255057196803,3.728022900755912,6739.200000000001,5470.7,45013.50000000001,53392.600000000006,51752.700000000004,58863.3,2622.5,209,Bronx Community District 9,0.5438829789999999,"Bronx River, Castle Hill, Clason Point, Harding Park, Parkchester, Soundview, Soundview-Bruckner, Unionport",16.6,32.0,27.6,24.3,187975.0,Unionport/Soundview,40005.0
25,Manhattan,102,32417.400000000005,29.895981787558533,26.36607118204159,13.38807963137576,3.5299106055169425,9691.500000000002,9549.000000000002,22725.9,26668.0,32417.400000000005,36217.0,865.9,102,Manhattan Community District 2,0.353231684,"Greenwich Village, Hudson Square, Little Italy, NoHo, SoHo, South Village, West Village",82.3,23.9,8.8,12.8,88816.53385,Greenwich Village,144878.0
26,Manhattan,107,80343.20000000001,29.146959543558133,25.64497769931239,13.655624447431824,3.501981844245744,23417.6,22079.299999999996,56925.600000000006,64016.7,80343.20000000001,86096.0,1220.2,107,Manhattan Community District 7,0.375219993,"Lincoln Square, Manhattan Valley, Upper West Side",76.6,23.0,9.2,15.1,207134.0,Upper West Side,123894.0
27,Queens,414,42242.7,17.227355259015166,13.822525170408353,24.632475228881965,3.404830088606813,7277.299999999999,5525.900000000001,34965.4,34451.6,42242.7,39977.50000000001,4494.9,414,Queens Community District 14,0.530835433,"Arverne, Bayswater, Belle Harbor, Breezy Point, Broad Channel, Edgemere, Far Rockaway, Hammels, Neponsit, Rockaway Park, The Rockaways, Roxbury, Seaside, Somerville",27.6,26.1,17.2,27.4,133051.0,The Rockaways,54012.0
28,Brooklyn,309,42066.799999999996,14.552331054418211,11.156000924782058,30.44397497396678,3.396330129636153,6121.699999999999,4777.1,35945.100000000006,38043.8,42066.799999999996,42820.9,1040.6,309,Brooklyn Community District 9,0.0,"Crown Heights South, Prospect Lefferts Gardens, Wingate",30.7,41.1,20.8,21.7,113212.0,Crown Heights South,51072.0
29,Bronx,211,44223.70000000001,19.657559182067526,16.335140145302212,20.339091107955998,3.3224190367653144,8693.3,7190.5,35530.4,36828.1,44223.70000000001,44018.6,2302.6,211,Bronx Community District 11,0.49399657,"Allerton, Bronxdale, Indian Village, Morris Park, Pelham Gardens, Pelham Parkway, Van Nest",24.1,34.3,20.6,22.3,120116.0,Pelham Parkway,48018.0
30,Queens,405,74135.79999999999,24.170913377882215,20.857860612643353,15.88395294592484,3.3130527652388615,17919.3,15650.800000000001,56216.5,59384.7,74135.79999999999,75035.49999999999,4829.4,405,Queens Community District 5,0.0,"Glendale, Maspeth, Middle Village, Ridgewood",27.5,39.5,16.8,21.3,199043.0,Ridgewood/Glendale,71234.0
31,Manhattan,111,32574.5,15.108750709911122,11.869652585071949,27.288904217069287,3.239098124839174,4921.5999999999985,3597.2999999999997,27652.899999999998,26709.400000000005,32574.5,30306.699999999997,1518.5,111,Manhattan Community District 11,0.458890112,"East Harlem, Harlem, Randall's Island Park, Wards Island Park",31.7,24.2,22.3,20.6,128316.0,East Harlem,36770.0
32,Bronx,205,47309.49999999999,13.256322725879583,10.276472909990368,28.996814782553713,2.9798498158892155,6271.5,5025.0,41037.99999999999,43873.1,47309.49999999999,48898.100000000006,879.5,205,Bronx Community District 5,0.650425115,"Fordham, Morris Heights, Mount Hope, University Heights",13.1,43.4,35.6,28.7,148339.0,University Heights,30166.0
33,Brooklyn,301,78209.50000000001,18.144598801935828,15.33042438448807,18.356793959958793,2.8141744174477576,14190.800000000003,9679.4,64018.700000000004,53459.100000000006,78209.50000000001,63138.5,3025.3,301,Brooklyn Community District 1,0.416007905,"East Williamsburg, Greenpoint, Northside, Southside, Williamsburg",47.8,24.1,15.5,21.1,152002.0,Williamsburg/Greenpoint,76608.0
34,Queens,404,56669.5,15.776211189440525,13.054103365667965,20.85250704335351,2.7221078237725607,8940.3,7863.1,47729.2,52371.6,56669.5,60234.69999999999,1506.8,404,Queens Community District 4,0.0,"Corona, Corona Heights, Elmhurst, Lefrak City",22.0,62.9,25.6,22.2,146301.0,Elmhurst/Corona,51992.0
35,Brooklyn,307,49091.5,21.675442795595984,19.010218319857174,14.01995721929634,2.6652244757388104,10640.800000000003,9359.699999999999,38450.7,39875.399999999994,49091.5,49235.1,2390.6,307,Brooklyn Community District 7,0.60952381,"Sunset Park, Windsor Terrace",27.3,47.2,27.9,23.9,144332.0,Sunset Park,56787.0
36,Brooklyn,316,28930.999999999996,12.324496215132557,9.67777261690325,27.348478859758774,2.6467235982293076,3565.6,2562.8,25365.4,23918.500000000004,28930.999999999996,26481.3,1188.4,316,Brooklyn Community District 16,0.0,"Broadway Junction, Brownsville, Ocean Hill",13.6,29.7,29.4,26.1,111511.0,Brownsville,20254.0
